feature,mean_importance
AMT_ANNUITY,-0.010707045156097916
AMT_CREDIT,-0.009536747163294923
EXT_SOURCE_3,-0.006324733173437069
ACTIVE_DAYS_CREDIT_ENDDATE_mean,-0.0051569377040572295
POS_CNT_INSTALMENT_FUTURE_MEAN,-0.005104008008294814
PREV_INST_EARLY_PAYMENT_MEAN_MEAN,-0.004141940944738886
PREV_INST_DAYS_INSTALMENT_MEAN_MEAN,-0.002711291495686008
POS_CNT_INSTALMENT_MAX,-0.0026268712746961853
PREV_INST_AMT_INSTALMENT_MAX_MAX,-0.002465270769167338
PREV_DAYS_DECISION_MAX,-0.0023232205514470915
DEBT_RATIO,-0.0022382475764729736
PREV_CCB_AMT_RECEIVABLE_PRINCIPAL_MEAN_MEAN,-0.002212556497009732
PREV_CCB_AMT_CREDIT_LIMIT_ACTUAL_MEAN_MEAN,-0.002198636687885114
PREV_AMT_DOWN_PAYMENT_SUM,-0.0021928806649891054
PREV_INST_DAYS_ENTRY_PAYMENT_MEAN_MEAN,-0.002110447222423839
DAYS_ID_PUBLISH,-0.002073609425590717
ACTIVE_DAYS_CREDIT_mean,-0.0019973625173495212
ORGANIZATION_CLUSTER,-0.00197026777121021
PREV_CCB_AMT_RECIVABLE_MAX_MAX,-0.0018735967711347445
PREV_AMT_CREDIT_MAX,-0.0018385992962293596
ALL_DAYS_CREDIT_max,-0.0017563689988227883
ACTIVE_AMT_CREDIT_SUM_DEBT_mean,-0.0017098753983470383
PREV_CCB_AMT_BALANCE_MAX_MAX,-0.0016970113259823449
NAME_CONTRACT_TYPE,-0.001567001162657422
CLOSED_DAYS_CREDIT_UPDATE_max,-0.00150769996034259
PREV_AMT_ANNUITY_SUM,-0.0014876705064952533
ALL_AMT_CREDIT_SUM_DEBT_mean,-0.001406396767918583
ALL_DAYS_CREDIT_UPDATE_max,-0.0013047177985764159
PREV_AMT_ANNUITY_MEAN,-0.0012604092161657477
ACTIVE_DAYS_CREDIT_max,-0.001227389912377852
PREV_CCB_CNT_DRAWINGS_ATM_CURRENT_MEAN_MEAN,-0.0011787975845260368
PREV_CCB_AMT_RECIVABLE_MEAN_MEAN,-0.001156247653022291
FLAG_DOCUMENT_3,-0.001155920657628151
CREDIT_ACTIVE_COUNT_ACTIVE,-0.0011286595268751088
PREV_CCB_CNT_DRAWINGS_CURRENT_MEAN_MEAN,-0.0010804917079013875
ALL_DAYS_CREDIT_UPDATE_mean,-0.0010796156316313032
NAME_INCOME_TYPE,-0.0010785165796866724
CLOSED_DAYS_CREDIT_max,-0.001021029012830099
POS_MONTHS_BALANCE_MIN,-0.0009587869581763498
ACTIVE_CREDIT_TYPE_Mortgage,-0.0009381172277084682
PREV_CCB_AMT_BALANCE_SUM_SUM,-0.000928723392082298
PREV_INST_PAYMENT_DIFF_MAX_MAX,-0.0009172132879100125
CLOSED_DAYS_CREDIT_ENDDATE_max,-0.0008900843899682486
ALL_AMT_CREDIT_SUM_max,-0.0008600441127000202
PREV_CCB_SK_DPD_DEF_MEAN_MEAN,-0.0008497796750540187
PREV_INST_EARLY_PAYMENT_SUM_SUM,-0.0008418333344056394
ACTIVE_CREDIT_TYPE_Credit card,-0.0008410292723901591
PREV_INST_PAYMENT_PERC_MEAN_MEAN,-0.0008061110153895212
ACTIVE_AMT_CREDIT_SUM_mean,-0.0008023483555294586
PREV_CCB_AMT_RECEIVABLE_PRINCIPAL_MAX_MAX,-0.000775307628139954
POS_CNT_INSTALMENT_MEAN,-0.0007670049461943717
PREV_INST_AMT_PAYMENT_MAX_MAX,-0.0007451808274025584
