feature,mean_importance
DEBT_RATIO,-0.001980439493519359
ALL_DAYS_CREDIT_mean,-0.0012794650472737201
PREV_INST_AMT_PAYMENT_SUM_SUM,-0.00034430214373331046
AMT_ANNUITY,-0.00028321694460606837
ACTIVE_DAYS_CREDIT_max,-0.0002770384061901554
CLOSED_AMT_CREDIT_SUM_max,-0.00027042650653608113
ALL_DAYS_CREDIT_max,-0.0002468236812798397
PREV_INST_DPD_MAX_MAX,-0.00018978091902728257
CLOSED_AMT_CREDIT_SUM_mean,-0.00018480992143550258
ACTIVE_DAYS_CREDIT_mean,-0.00017248023836546889
PREV_INST_DPD_SUM_SUM,-0.00014564544348292242
POS_CNT_INSTALMENT_MAX,-0.0001454847564806183
PREV_AMT_DOWN_PAYMENT_MEAN,-0.00014277992128723936
ALL_AMT_CREDIT_SUM_DEBT_mean,-0.00013978607840010594
ALL_AMT_CREDIT_SUM_mean,-0.00013586763983177707
PREV_AMT_DOWN_PAYMENT_SUM,-0.0001248662615229712
CLOSED_AMT_CREDIT_SUM_sum,-0.0001217388279558973
ALL_DAYS_CREDIT_ENDDATE_mean,-0.00010784445768226014
DAYS_REGISTRATION,-0.00010475777611078652
POS_CNT_INSTALMENT_FUTURE_MAX,-9.905538856385121e-05
ALL_DAYS_CREDIT_min,-8.994621553148896e-05
ALL_AMT_CREDIT_SUM_max,-8.466364942680827e-05
ALL_DAYS_CREDIT_ENDDATE_max,-8.164812385575981e-05
AMT_GOODS_PRICE,-7.99567788612121e-05
PREV_INST_EARLY_PAYMENT_SUM_SUM,-7.554264721607585e-05
ALL_DAYS_CREDIT_UPDATE_mean,-7.485463357967959e-05
ALL_BB_MONTHS_BALANCE_mean_mean,-7.217660567411243e-05
PREV_DAYS_DECISION_MAX,-7.024976569307562e-05
CLOSED_DAYS_CREDIT_UPDATE_mean,-6.77018529106066e-05
PREV_RATE_DOWN_PAYMENT_MAX,-6.453175718714732e-05
ACTIVE_DAYS_CREDIT_UPDATE_mean,-6.145387035318972e-05
