feature,mean_importance
DEBT_RATIO,-0.0029145849298145786
ALL_DAYS_CREDIT_mean,-0.0007728965690291245
AMT_ANNUITY,-0.0005461760725660403
POS_CNT_INSTALMENT_FUTURE_MEAN,-0.00047488676366831407
ALL_AMT_CREDIT_SUM_DEBT_mean,-0.00035254117152296873
PREV_INST_EARLY_PAYMENT_SUM_SUM,-0.0003015169734238432
PREV_INST_AMT_PAYMENT_SUM_SUM,-0.0002984797046356125
ALL_DAYS_CREDIT_ENDDATE_mean,-0.0002684379718081775
ACTIVE_DAYS_CREDIT_max,-0.00020138166236247646
ALL_DAYS_CREDIT_max,-0.00019489587916217134
NAME_INCOME_TYPE,-0.0001896306365519296
ALL_AMT_CREDIT_SUM_sum,-0.000184652123085427
PREV_CCB_CNT_DRAWINGS_ATM_CURRENT_MEAN_MEAN,-0.00017725443917611107
ALL_AMT_CREDIT_SUM_max,-0.00016890321088931516
CLOSED_AMT_CREDIT_SUM_sum,-0.00016650181993020928
ALL_AMT_CREDIT_SUM_mean,-0.0001592497623385869
PREV_INST_DPD_SUM_SUM,-0.00014619812741716308
PREV_INST_PAYMENT_DIFF_MEAN_MEAN,-0.00012604951983057332
NONLIVINGAREA_MEDI,-0.00012164148067179692
AGE,-0.00012002170915419441
CLOSED_AMT_CREDIT_SUM_max,-0.0001198104479192219
ALL_BB_STATUS_0_sum_sum,-0.00011206168427173591
PREV_INST_PAYMENT_PERC_MEAN_MEAN,-0.0001116908765366853
CLOSED_DAYS_CREDIT_ENDDATE_max,-0.00011053740108319942
YEARS_BEGINEXPLUATATION_MEDI,-0.00010297126897387265
LIVINGAPARTMENTS_MEDI,-0.0001016285572801312
CLOSED_BB_STATUS_C_sum_sum,-0.00010017327178557522
ACTIVE_DAYS_CREDIT_ENDDATE_max,-9.639051043373038e-05
LIVINGAREA_MEDI,-9.398718514157523e-05
POS_SK_DPD_DEF_MEAN,-9.348958086614622e-05
TOTALAREA_MODE,-8.929643227115758e-05
ALL_AMT_CREDIT_SUM_LIMIT_sum,-8.856913742834038e-05
ALL_DAYS_CREDIT_UPDATE_mean,-8.252663976731079e-05
POS_CNT_INSTALMENT_FUTURE_MAX,-8.145183392826993e-05
DAYS_REGISTRATION,-7.606678983780313e-05
ACTIVE_AMT_CREDIT_SUM_sum,-7.59758291817736e-05
ALL_CREDIT_TYPE_Consumer credit,-7.380455274510477e-05
ALL_DAYS_ENDDATE_FACT_max,-6.382695832678476e-05
POS_MONTHS_BALANCE_MAX,-6.363945884502176e-05
ACTIVE_AMT_CREDIT_SUM_max,-6.311606743378829e-05
ALL_DAYS_CREDIT_ENDDATE_max,-6.23806241247804e-05
FLAG_GOODS_GT_CREDIT,-6.237299137688002e-05
PREV_CCB_AMT_RECIVABLE_MEAN_MEAN,-6.195559389783334e-05
PREV_DAYS_DECISION_MAX,-5.9793710629651994e-05
PREV_CCB_AMT_DRAWINGS_ATM_CURRENT_SUM_SUM,-5.892356371444141e-05
CLOSED_AMT_CREDIT_SUM_mean,-5.692724596071397e-05
PREV_AMT_ANNUITY_MAX,-5.541583001080763e-05
CLOSED_DAYS_CREDIT_max,-5.466480663158801e-05
ACTIVE_AMT_CREDIT_SUM_mean,-5.4640250781878843e-05
PREV_CCB_AMT_RECEIVABLE_PRINCIPAL_MEAN_MEAN,-5.274452416976771e-05
ALL_DAYS_ENDDATE_FACT_mean,-5.096886098248099e-05
CLOSED_BB_MONTHS_BALANCE_min_min,-5.056931558595767e-05
APARTMENTS_MEDI,-4.7279431651858773e-05
CLOSED_DAYS_CREDIT_ENDDATE_min,-4.6790108827909904e-05
ALL_AMT_CREDIT_SUM_LIMIT_mean,-4.6769627119425114e-05
NAME_EDUCATION_TYPE,-4.603899771586928e-05
OWN_CAR_AGE,-4.5549218816343104e-05
AMT_REQ_CREDIT_BUREAU_YEAR,-4.509336412521492e-05
PREV_INST_DAYS_ENTRY_PAYMENT_MAX_MAX,-4.0194736192744605e-05
CLOSED_DAYS_CREDIT_ENDDATE_mean,-3.968158685092593e-05
ACTIVE_DAYS_CREDIT_UPDATE_min,-3.918103989664079e-05
CLOSED_BB_STATUS_0_sum_sum,-3.858221989221367e-05
ALL_AMT_ANNUITY_max,-3.7560648525691855e-05
CLOSED_BB_STATUS_X_sum_sum,-3.7515000509125154e-05
POS_SK_DPD_MEAN,-3.653004041281882e-05
ALL_DAYS_CREDIT_ENDDATE_min,-3.441913452328915e-05
PREV_AMT_ANNUITY_SUM,-3.272019894480227e-05
BUREAU_LOAN_COUNT,-3.1322132534716826e-05
ALL_DAYS_CREDIT_UPDATE_max,-3.0494299258720936e-05
ACTIVE_BB_MONTHS_BALANCE_mean_mean,-2.9313704500966152e-05
ACTIVE_AMT_ANNUITY_max,-2.9147454021494212e-05
REGION_POPULATION_RELATIVE,-2.8191253965914598e-05
ACTIVE_DAYS_CREDIT_UPDATE_mean,-2.7559602328608436e-05
ALL_DAYS_CREDIT_min,-2.6466081688014677e-05
PREV_HOUR_APPR_PROCESS_START_MIN,-2.6219026632823274e-05
WEEKDAY_APPR_PROCESS_START_THURSDAY,-2.5914826131367975e-05
CREDIT_ACTIVE_COUNT_CLOSED,-2.521145001277425e-05
POS_CNT_INSTALMENT_MEAN,-2.471648264636972e-05
ALL_AMT_ANNUITY_mean,-2.3816318757163836e-05
