feature,mean_importance
SOLD_AMT_CREDIT_SUM_DEBT_sum,0.0
SOLD_AMT_CREDIT_SUM_max,0.0
SOLD_AMT_ANNUITY_sum,0.0
PREV_AMT_ANNUITY_MAX,0.0
PREV_AMT_ANNUITY_SUM,0.0
PREV_AMT_APPLICATION_MEAN,0.0
NAME_CONTRACT_STATUS_Unused offer,0.0
NAME_CONTRACT_STATUS_Refused,0.0
NAME_CONTRACT_STATUS_Canceled,0.0
NAME_CONTRACT_STATUS_Approved,0.0
PREV_INST_EARLY_REPAY_LOAN_MAX_MEAN,0.0
PREV_INST_EARLY_PAYMENT_SUM_SUM,0.0
PREV_INST_EARLY_PAYMENT_MEAN_MEAN,0.0
PREV_INST_DPD_MAX_MAX,0.0
PREV_INST_DPD_SUM_SUM,0.0
PREV_INST_PAYMENT_DIFF_MAX_MAX,0.0
PREV_INST_PAYMENT_DIFF_MIN_MIN,0.0
PREV_INST_PAYMENT_DIFF_STD_STD,0.0
NAME_PAYMENT_TYPE_Cash through the bank,0.0
PREV_INST_PAYMENT_DIFF_MEAN_MEAN,0.0
PREV_INST_PAYMENT_PERC_MEAN_MEAN,0.0
PREV_INST_DAYS_ENTRY_PAYMENT_MEAN_MEAN,0.0
PREV_INST_DAYS_ENTRY_PAYMENT_MAX_MAX,0.0
PREV_INST_DAYS_ENTRY_PAYMENT_MIN_MIN,0.0
PREV_INST_DAYS_INSTALMENT_MEAN_MEAN,0.0
PREV_INST_DAYS_INSTALMENT_MAX_MAX,0.0
PREV_INST_DAYS_INSTALMENT_MIN_MIN,0.0
PREV_INST_AMT_PAYMENT_MAX_MAX,0.0
PREV_INST_AMT_PAYMENT_MEAN_MEAN,0.0
PREV_INST_AMT_PAYMENT_SUM_SUM,0.0
PREV_INST_AMT_INSTALMENT_MAX_MAX,0.0
PREV_INST_AMT_INSTALMENT_MEAN_MEAN,0.0
PREV_INST_PAYMENT_PERC_STD_STD,0.0
PREV_INST_AMT_INSTALMENT_SUM_SUM,0.0
NAME_PAYMENT_TYPE_Cashless from the account of the employer,0.0
NAME_PAYMENT_TYPE_XNA,0.0
POS_CNT_INSTALMENT_MAX,0.0
POS_CNT_INSTALMENT_MEAN,0.0
POS_SK_DPD_DEF_SUM,0.0
POS_SK_DPD_DEF_MAX,0.0
POS_SK_DPD_DEF_MEAN,0.0
POS_SK_DPD_SUM,0.0
POS_SK_DPD_MAX,0.0
POS_SK_DPD_MEAN,0.0
POS_MONTHS_BALANCE_MEAN,0.0
POS_MONTHS_BALANCE_MAX,0.0
POS_MONTHS_BALANCE_MIN,0.0
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,0.0
NAME_PAYMENT_TYPE_Non-cash from your account,0.0
WEEKDAY_APPR_PROCESS_START_TUESDAY,0.0
WEEKDAY_APPR_PROCESS_START_SUNDAY,0.0
WEEKDAY_APPR_PROCESS_START_SATURDAY,0.0
WEEKDAY_APPR_PROCESS_START_MONDAY,0.0
WEEKDAY_APPR_PROCESS_START_FRIDAY,0.0
NAME_CONTRACT_TYPE_XNA,0.0
NAME_CONTRACT_TYPE_Revolving loans,0.0
NAME_CONTRACT_TYPE_Consumer loans,0.0
NAME_CONTRACT_TYPE_Cash loans,0.0
NAME_CLIENT_TYPE_XNA,0.0
NAME_CLIENT_TYPE_Repeater,0.0
NAME_CLIENT_TYPE_Refreshed,0.0
NAME_CLIENT_TYPE_New,0.0
WEEKDAY_APPR_PROCESS_START_THURSDAY,0.0
CLOSED_AMT_ANNUITY_max,0.0
PREV_INST_NUM_INSTALMENT_NUMBER_COUNT_COUNT,0.0
PREV_INST_NUM_INSTALMENT_VERSION_NUNIQUE_NUNIQUE,0.0
PREV_CCB_AMT_BALANCE_SUM_SUM,0.0
PREV_CCB_AMT_BALANCE_MAX_MAX,0.0
PREV_CCB_AMT_BALANCE_MEAN_MEAN,0.0
PREV_CCB_MONTHS_BALANCE_MEAN_MEAN,0.0
PREV_CCB_MONTHS_BALANCE_MAX_MAX,0.0
PREV_CCB_MONTHS_BALANCE_MIN_MIN,0.0
PREV_DAYS_DECISION_MEAN,0.0
PREV_DAYS_DECISION_MAX,0.0
PREV_DAYS_DECISION_MIN,0.0
PREV_RATE_DOWN_PAYMENT_MIN,0.0
PREV_RATE_DOWN_PAYMENT_MAX,0.0
PREV_RATE_DOWN_PAYMENT_MEAN,0.0
PREV_CCB_AMT_CREDIT_LIMIT_ACTUAL_MEAN_MEAN,0.0
PREV_HOUR_APPR_PROCESS_START_MIN,0.0
PREV_HOUR_APPR_PROCESS_START_MEAN,0.0
PREV_AMT_GOODS_PRICE_SUM,0.0
PREV_AMT_GOODS_PRICE_MAX,0.0
PREV_AMT_GOODS_PRICE_MEAN,0.0
PREV_AMT_DOWN_PAYMENT_SUM,0.0
PREV_AMT_DOWN_PAYMENT_MAX,0.0
PREV_AMT_DOWN_PAYMENT_MEAN,0.0
PREV_AMT_CREDIT_SUM,0.0
PREV_AMT_CREDIT_MAX,0.0
PREV_AMT_CREDIT_MEAN,0.0
PREV_AMT_APPLICATION_SUM,0.0
PREV_AMT_APPLICATION_MAX,0.0
PREV_HOUR_APPR_PROCESS_START_MAX,0.0
PREV_INST_NUM_INSTALMENT_NUMBER_MAX_MAX,0.0
PREV_CCB_AMT_CREDIT_LIMIT_ACTUAL_MAX_MAX,0.0
PREV_CCB_AMT_DRAWINGS_ATM_CURRENT_MEAN_MEAN,0.0
PREV_CCB_SK_DPD_DEF_SUM_SUM,0.0
PREV_CCB_SK_DPD_DEF_MAX_MAX,0.0
PREV_CCB_SK_DPD_DEF_MEAN_MEAN,0.0
PREV_CCB_SK_DPD_SUM_SUM,0.0
PREV_CCB_SK_DPD_MAX_MAX,0.0
PREV_CCB_SK_DPD_MEAN_MEAN,0.0
PREV_CCB_CNT_DRAWINGS_POS_CURRENT_MEAN_MEAN,0.0
PREV_CCB_CNT_DRAWINGS_POS_CURRENT_SUM_SUM,0.0
PREV_CCB_CNT_DRAWINGS_ATM_CURRENT_MEAN_MEAN,0.0
PREV_CCB_CNT_DRAWINGS_ATM_CURRENT_SUM_SUM,0.0
PREV_CCB_CNT_DRAWINGS_CURRENT_MEAN_MEAN,0.0
PREV_CCB_CNT_DRAWINGS_CURRENT_SUM_SUM,0.0
PREV_CCB_AMT_DRAWINGS_ATM_CURRENT_SUM_SUM,0.0
PREV_CCB_AMT_TOTAL_RECEIVABLE_MAX_MAX,0.0
PREV_CCB_AMT_RECIVABLE_MAX_MAX,0.0
PREV_CCB_AMT_RECIVABLE_MEAN_MEAN,0.0
PREV_CCB_AMT_RECEIVABLE_PRINCIPAL_MAX_MAX,0.0
PREV_CCB_AMT_RECEIVABLE_PRINCIPAL_MEAN_MEAN,0.0
PREV_CCB_AMT_PAYMENT_TOTAL_CURRENT_MEAN_MEAN,0.0
PREV_CCB_AMT_PAYMENT_TOTAL_CURRENT_SUM_SUM,0.0
PREV_CCB_AMT_PAYMENT_CURRENT_MEAN_MEAN,0.0
PREV_CCB_AMT_PAYMENT_CURRENT_SUM_SUM,0.0
PREV_CCB_AMT_DRAWINGS_POS_CURRENT_MEAN_MEAN,0.0
PREV_CCB_AMT_DRAWINGS_POS_CURRENT_SUM_SUM,0.0
PREV_CCB_AMT_DRAWINGS_CURRENT_MEAN_MEAN,0.0
PREV_CCB_AMT_DRAWINGS_CURRENT_SUM_SUM,0.0
PREV_CCB_AMT_TOTAL_RECEIVABLE_MEAN_MEAN,0.0
CLOSED_AMT_ANNUITY_sum,0.0
CLOSED_AMT_ANNUITY_mean,0.0
CLOSED_DAYS_CREDIT_UPDATE_mean,0.0
EMERGENCYSTATE_MODE,0.0
WALLSMATERIAL_MODE,0.0
TOTALAREA_MODE,0.0
HOUSETYPE_MODE,0.0
FONDKAPREMONT_MODE,0.0
NONLIVINGAREA_MEDI,0.0
NONLIVINGAPARTMENTS_MEDI,0.0
LIVINGAREA_MEDI,0.0
LIVINGAPARTMENTS_MEDI,0.0
LANDAREA_MEDI,0.0
FLOORSMIN_MEDI,0.0
FLOORSMAX_MEDI,0.0
ENTRANCES_MEDI,0.0
ELEVATORS_MEDI,0.0
COMMONAREA_MEDI,0.0
YEARS_BUILD_MEDI,0.0
YEARS_BEGINEXPLUATATION_MEDI,0.0
BASEMENTAREA_MEDI,0.0
APARTMENTS_MEDI,0.0
NONLIVINGAREA_MODE,0.0
NONLIVINGAPARTMENTS_MODE,0.0
LIVINGAREA_MODE,0.0
LIVINGAPARTMENTS_MODE,0.0
LANDAREA_MODE,0.0
FLOORSMIN_MODE,0.0
OBS_30_CNT_SOCIAL_CIRCLE,0.0
DEF_30_CNT_SOCIAL_CIRCLE,0.0
OBS_60_CNT_SOCIAL_CIRCLE,0.0
DEF_60_CNT_SOCIAL_CIRCLE,0.0
POS_CNT_INSTALMENT_FUTURE_MEAN,0.0
AMT_REQ_CREDIT_BUREAU_MON,0.0
AMT_REQ_CREDIT_BUREAU_WEEK,0.0
AMT_REQ_CREDIT_BUREAU_DAY,0.0
AMT_REQ_CREDIT_BUREAU_HOUR,0.0
FLAG_DOCUMENT_21,0.0
FLAG_DOCUMENT_20,0.0
FLAG_DOCUMENT_19,0.0
FLAG_DOCUMENT_18,0.0
FLAG_DOCUMENT_17,0.0
FLAG_DOCUMENT_16,0.0
FLAG_DOCUMENT_15,0.0
FLOORSMAX_MODE,0.0
FLAG_DOCUMENT_14,0.0
FLAG_DOCUMENT_12,0.0
FLAG_DOCUMENT_11,0.0
FLAG_DOCUMENT_10,0.0
FLAG_DOCUMENT_9,0.0
FLAG_DOCUMENT_8,0.0
FLAG_DOCUMENT_7,0.0
FLAG_DOCUMENT_6,0.0
FLAG_DOCUMENT_5,0.0
FLAG_DOCUMENT_4,0.0
FLAG_DOCUMENT_3,0.0
FLAG_DOCUMENT_2,0.0
DAYS_LAST_PHONE_CHANGE,0.0
FLAG_DOCUMENT_13,0.0
AMT_REQ_CREDIT_BUREAU_YEAR,0.0
ENTRANCES_MODE,0.0
COMMONAREA_MODE,0.0
OCCUPATION_TYPE,0.0
FLAG_EMAIL,0.0
FLAG_PHONE,0.0
FLAG_CONT_MOBILE,0.0
FLAG_WORK_PHONE,0.0
FLAG_EMP_PHONE,0.0
FLAG_MOBIL,0.0
OWN_CAR_AGE,0.0
DAYS_ID_PUBLISH,0.0
DAYS_REGISTRATION,0.0
DAYS_EMPLOYED,0.0
REGION_POPULATION_RELATIVE,0.0
NAME_HOUSING_TYPE,0.0
NAME_FAMILY_STATUS,0.0
